Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
912,198004,2,18,3,3,5,3,2,0,1,0,0,0,0,52.538927867271795,13.399141693493805,0,1,2,0
913,198009,2,0,3,2,5,3,2,0,1,0,0,0,0,52.50378742851738,13.410282934849393,0,1,2,0
914,198012,2,9,7,2,0,7,0,0,0,0,0,0,0,52.50566445764564,13.30690270874758,1,0,7,1
915,198015,2,8,3,3,5,3,0,0,1,0,0,0,0,52.50319136538518,13.580985115439004,0,1,2,0
916,198016,2,14,3,3,5,2,0,0,1,0,0,0,0,52.44308702709938,13.315607080730116,0,1,2,0
917,198017,2,9,3,3,5,3,0,0,1,0,0,0,0,52.5015523307984,13.382081448282015,0,1,2,0
918,198018,2,10,3,3,5,2,0,0,1,0,0,0,0,52.49245211027109,13.390927161841375,0,1,2,0
919,198028,2,20,2,3,5,3,2,0,1,0,0,0,0,52.503785585497816,13.410289860980013,0,1,2,0
920,198030,2,17,2,2,2,6,1,0,1,0,0,0,0,52.5820053754317,13.40929212064049,0,1,6,0
921,198032,2,18,2,3,3,6,2,0,1,0,0,0,0,52.50428471171757,13.335930718886486,0,1,6,0
922,198034,2,16,5,3,0,2,0,0,1,0,0,0,0,52.531666397464456,13.419908625125466,0,1,2,0
923,198041,2,8,2,3,1,5,0,0,1,0,0,0,0,52.5247640432844,13.41021075409749,0,1,5,0
924,198043,2,14,2,3,5,3,0,0,0,0,0,0,1,52.49285128313166,13.387425375273278,0,1,2,0
925,198046,2,14,2,3,5,2,0,0,1,0,0,0,0,52.54802305335552,13.361589885631313,0,1,2,0
926,198055,2,14,2,2,5,3,0,0,1,0,0,0,0,52.557812040162496,13.548741702011945,0,1,2,0
927,198059,2,13,7,3,1,5,0,0,1,0,0,0,0,52.547105885525646,13.374711528935766,0,1,5,1
928,198060,2,9,2,3,5,5,0,0,1,0,0,0,0,52.49040600563878,13.316590852598065,0,1,5,0
929,198065,2,20,2,3,1,5,2,0,1,0,0,0,0,52.463645746507005,13.335846856564142,0,1,5,0
930,198066,2,14,2,2,5,3,0,0,1,0,0,0,0,52.520671558157396,13.473434639591614,0,1,2,0
931,198067,2,16,2,2,5,3,0,0,1,0,0,0,0,52.43113111562343,13.322689037421114,0,1,2,0
932,198071,2,1,1,2,1,5,2,1,1,0,0,0,0,52.4331320254022,13.215823749295664,0,1,5,1
933,198072,2,8,5,3,5,3,0,0,1,0,0,0,0,52.616918865081466,13.220639619526189,0,1,2,0
934,198074,2,0,7,3,0,1,2,0,0,0,0,0,0,52.499127001237575,13.426781039453475,1,0,1,1
935,198081,2,9,1,2,5,3,0,0,1,0,0,0,0,52.41121722217631,13.334416373068578,0,1,2,1
